Total,5830537.0,5830538.0,,,,5830539.0,,,5830540.0,,,5830541.0,5830542.0,5830543.0,,5831099.0,,,,5830545.0,,,,5830546.0,5830547.0,5830548.0,,5831098.0,,,,,,,,5830550.0,,,,,,,,,5830551.0,,,,,,5830552,5830555.0,,,,,,,,,,,,5830556.0,,,
,3.0,1.0,1,1,1,2.0,2.0,2.0,1.33,1.33,1.34,3.0,3.0,4.0,4.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.75,1.75,1.75,1.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1233.0,1.0,1.85,0.564,1.036,4.0,3.0,0.0,20.032,1.6019999999999999,3.638,0.1451,7.0,6.889,19.826,1.0,2.13,-26.424,-22.556,4.0,2.337,0.026,1.0,0.1794,0.19521,0.2614,0.2506,0.0,1.0,0.05,0.0,1.6600000000000001,0.0969,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,2.516,0.007,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.23,1.0,2.0,5.7,0.0,0.0,5.7,0.05,0.0,-3.1068,0.0019,1.0,7.0,0.0,1.3719999999999999,0.0522,0.093
90,0.0,1.0,1,1,1,2.0,2.0,2.0,1.33,1.33,1.34,3.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,3.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.75,1.75,1.75,1.75
,1326.0,1.0,1.96,1.125,1.491,3.0,1.0,5.0,19.939,0.505,3.035,0.0824,9.0,6.889,4.543,1.0,2.1398,-26.43,-22.55,0.0,1.8050000000000002,0.079,1.0,0.1544,0.76912,0.1608,0.3632,0.0,0.0,0.05,0.0,1.34,0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,3.394,0.0005,2.0,0.0,1.0,1.0,0.0,2.0,1.0,0.06,0.0,3.0,5.1,3.0,5.0,5.1,0.05,0.0,-3.123,0.0018,1.0,0.0,0.0,1.2816,0.1862,0.2483
97,3.0,1.0,1,1,1,2.0,2.0,2.0,1.33,1.33,1.34,3.0,0.0,4.0,4.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.75,1.75,1.75,1.75
,1254.0,1.0,29,1.09,1.287,0.0,4.0,0.0,20.387,0.536,3.024,0.1874,10.0,6.889,4.543,1.0,2.1310000000000002,-26.425,-22.555,4.0,1.956,0.058,1.0,0.134,0.61668,0.0668,0.2818,4.0,2.0,0.05,0.0,1.08,0.28,0.0,0.0,5.0,1.0,0.0,4.0,3.0,0.0,0.294,0.385,5.0,0.0,2.0,1.0,0.0,1.0,1.0,0.174,3.0,4.0,4.9,3.0,1.0,4.9,0.05,0.0,-2.4346,0.015,1.0,0.0,0.0,1.5548,0.1068,0.1699
85,3.0,1.0,0,1,0,2.0,2.0,0.0,1.33,1.33,1.34,3.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1.0,1.75,1.75,1.75,1.75
,1575.0,1.0,1.283,0.906,1.2810000000000001,2.0,6.0,3.0,20.397,0.797,2.643,0.1204,9.0,6.889,4.543,1.0,2.14,-26.43,-22.55,1.0,1.991,0.054,0.0,0.1722,0.52525,0.4803,0.6559,1.0,2.0,0.05,0.0,2.15,0.0313,1.0,1.0,2.0,2.0,0.0,1.0,3.0,0.0,3.205,0.001,4.0,1.0,0.0,2.0,1.0,1.0,0.0,0.18,2.0,0.0,5.7,5.0,4.0,5.7,0.05,0.0,-2.8623,0.0042,1.0,7.0,0.0,1.5141,0.2335,0.3102
